watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,LR,1,50,10,-59.2,-58,-60,2
31,LR,1,50,7,-58.8571428571429,-58,-60,2
31,LR,0,50,2,-58.5,-58,-59,1
31,LR,1,50,9,-58.2222222222222,-58,-59,1
31,LR,0,50,1,-58,-58,-58,0
31,LR,1,50,6,-58.5,-58,-59,1
31,LR,1,50,7,-59.4285714285714,-58,-60,2
31,LR,0,50,1,-59,-59,-59,0
31,LR,1,50,10,-59.4,-58,-60,2
31,LR,0,50,1,-58,-58,-58,0
31,LR,0,50,1,-60,-60,-60,0
31,LR,1,50,10,-61.6,-60,-64,4
31,LR,0,50,1,-62,-62,-62,0
31,LR,0,50,1,-62,-62,-62,0
31,LR,1,50,9,-60.7777777777778,-59,-62,3
31,LR,1,50,8,-61.75,-59,-64,5
31,LR,1,50,8,-60.625,-59,-64,5
31,LR,1,50,8,-60.25,-59,-63,4
31,LR,1,50,7,-61.2857142857143,-59,-63,4
31,LR,1,50,10,-59.1,-58,-62,4
31,LR,1,50,8,-59,-58,-61,3
31,LR,0,50,1,-58,-58,-58,0
31,LR,1,50,10,-57.9,-57,-61,4
31,LR,1,50,3,-59.3333333333333,-58,-61,3
31,LR,1,50,9,-57.5555555555556,-56,-61,5
31,LR,1,50,5,-57,-57,-57,0
31,LR,1,50,10,-56.9,-56,-58,2
31,LR,1,50,9,-57.2222222222222,-56,-58,2
31,LR,1,50,6,-56.8333333333333,-56,-58,2
31,LR,1,50,6,-57.1666666666667,-56,-58,2
31,LR,1,50,7,-59.2857142857143,-58,-63,5
31,LR,0,50,1,-58,-58,-58,0
31,LR,1,50,4,-60,-58,-63,5
31,LR,1,50,8,-61,-59,-64,5
31,LR,1,50,9,-61.6666666666667,-59,-65,6
31,LR,1,50,7,-62.4285714285714,-60,-65,5
31,LR,1,50,5,-63.4,-62,-65,3
31,LR,1,50,4,-63.5,-63,-64,1
31,LR,1,50,8,-62.875,-62,-64,2
31,LR,1,50,9,-62.7777777777778,-62,-64,2
31,LR,1,50,4,-61.25,-61,-62,1
31,LR,1,50,10,-61.6,-61,-63,2
31,LR,1,50,7,-61.7142857142857,-61,-63,2
31,LR,1,50,7,-60.7142857142857,-59,-62,3
31,LR,0,50,1,-60,-60,-60,0
31,LR,1,50,10,-59.8,-59,-61,2
31,LR,1,50,8,-59.875,-59,-61,2
31,LR,1,50,3,-60.3333333333333,-60,-61,1
31,LR,1,50,6,-59.6666666666667,-59,-60,1
31,LR,1,50,10,-59.5,-59,-61,2
31,LR,1,50,3,-59.3333333333333,-59,-60,1
31,LR,1,50,10,-58.9,-57,-61,4
31,LR,1,50,10,-58.6,-56,-61,5
31,LR,1,50,3,-60.6666666666667,-60,-61,1
31,LR,1,50,8,-58.25,-56,-61,5
31,LR,1,50,8,-57,-56,-59,3
31,LR,1,50,3,-56.6666666666667,-56,-57,1
31,LR,0,50,2,-58.5,-54,-63,9
26,RL,1,50,5,-75,-66,-84,18
26,RL,1,50,9,-68.8888888888889,-64,-78,14
26,RL,0,50,2,-74.5,-71,-78,7
26,RL,1,50,7,-73,-67,-80,13
26,RL,1,50,3,-72,-70,-75,5
26,RL,1,50,3,-70.6666666666667,-67,-75,8
26,RL,1,50,7,-70.1428571428571,-68,-72,4
26,RL,1,50,5,-69.8,-68,-72,4
26,RL,0,50,2,-70,-70,-70,0
26,RL,1,50,8,-69.25,-68,-71,3
26,RL,1,50,5,-68,-66,-70,4
26,RL,1,50,3,-68,-67,-69,2
26,RL,1,50,5,-66.4,-66,-67,1
26,RL,1,50,8,-66.625,-65,-68,3
26,RL,1,50,9,-67.2222222222222,-65,-70,5
26,RL,0,50,2,-67.5,-67,-68,1
26,RL,1,50,7,-67.1428571428571,-65,-70,5
26,RL,1,50,3,-68.6666666666667,-68,-70,2
26,RL,1,50,5,-66.8,-66,-68,2
26,RL,1,50,8,-68.375,-66,-70,4
26,RL,1,50,4,-68.25,-67,-69,2
26,RL,1,50,7,-69.1428571428571,-68,-70,2
26,RL,1,50,5,-68.4,-67,-71,4
26,RL,1,50,5,-68.6,-68,-71,3
26,RL,1,50,10,-67.4,-66,-70,4
26,RL,1,50,7,-66.4285714285714,-65,-70,5
26,RL,1,50,9,-66.3333333333333,-65,-70,5
26,RL,1,50,5,-67,-65,-70,5
26,RL,1,50,7,-66.2857142857143,-65,-67,2
26,RL,0,50,1,-66,-66,-66,0
26,RL,0,50,2,-62,-62,-62,0
26,RL,1,50,8,-66,-64,-68,4
26,RL,0,50,1,-64,-64,-64,0
26,RL,1,50,7,-65.8571428571429,-64,-68,4
26,RL,1,50,3,-66,-65,-67,2
26,RL,1,50,5,-65.4,-65,-66,1
26,RL,1,50,5,-64.8,-61,-66,5
26,RL,0,50,1,-69,-69,-69,0
26,RL,1,50,6,-70.5,-67,-79,12
26,RL,1,50,10,-73,-66,-87,21
26,RL,1,50,4,-71.5,-66,-81,15
26,RL,1,50,3,-71.6666666666667,-70,-75,5
26,RL,1,50,10,-69.3,-66,-75,9
26,RL,1,50,10,-72,-67,-78,11
26,RL,1,50,4,-69.5,-67,-75,8
26,RL,1,50,6,-73.3333333333333,-68,-78,10
26,RL,1,50,6,-76.3333333333333,-73,-81,8
26,RL,1,50,9,-74.4444444444444,-72,-76,4
26,RL,1,50,8,-74.125,-72,-81,9
26,RL,0,50,2,-73.5,-73,-74,1
26,RL,1,50,9,-70.2222222222222,-65,-75,10
26,RL,1,50,4,-71.25,-66,-75,9
26,RL,1,50,10,-70.1,-65,-77,12
26,RL,1,50,5,-67.8,-65,-71,6
26,RL,1,50,6,-73.6666666666667,-69,-77,8
26,RL,1,50,7,-73,-69,-77,8
26,RL,1,50,10,-72.4,-69,-77,8
26,RL,1,50,10,-72.7,-68,-77,9
26,RL,1,50,10,-72.1,-67,-77,10
26,RL,0,50,1,-75,-75,-75,0
26,RL,1,50,6,-70.8333333333333,-68,-74,6
26,RL,1,50,7,-71.4285714285714,-68,-74,6
26,RL,0,50,1,-69,-69,-69,0
26,RL,1,50,5,-72,-67,-77,10
26,RL,0,50,2,-72,-71,-73,2
26,RL,1,50,3,-74.3333333333333,-72,-76,4
26,RL,0,50,1,-72,-72,-72,0
26,RL,1,50,4,-73.25,-72,-75,3
26,RL,1,50,9,-73.2222222222222,-66,-80,14
26,RL,1,50,3,-75,-71,-80,9
26,RL,1,50,8,-72.875,-66,-78,12
26,RL,1,50,10,-71.7,-68,-75,7
26,RL,1,50,7,-71.7142857142857,-70,-74,4
26,RL,1,50,3,-72.6666666666667,-72,-73,1
26,RL,1,50,4,-70.25,-69,-72,3
26,RL,0,50,2,-70.5,-68,-73,5
26,RL,1,50,8,-73.25,-68,-77,9
26,RL,0,50,2,-74.5,-72,-77,5
26,RL,1,50,8,-71.75,-68,-77,9
26,RL,0,50,2,-72.5,-72,-73,1
26,RL,1,50,5,-75.4,-70,-81,11
26,RL,1,50,9,-71.4444444444444,-67,-76,9
26,LR,1,50,10,-58.9,-55,-60,5
26,LR,1,50,8,-59.5,-59,-60,1
26,LR,1,50,4,-59.25,-59,-60,1
26,LR,1,50,6,-59.6666666666667,-59,-60,1
26,LR,1,50,9,-59.4444444444444,-59,-60,1
26,LR,1,50,4,-59.25,-59,-60,1
26,LR,1,50,6,-59.6666666666667,-59,-60,1
26,LR,1,50,7,-60.5714285714286,-59,-62,3
26,LR,1,50,8,-60.75,-58,-63,5
26,LR,1,50,3,-61,-58,-63,5
26,LR,1,50,5,-61.8,-61,-62,1
26,LR,1,50,6,-60.3333333333333,-58,-62,4
26,LR,1,50,3,-59,-58,-61,3
26,LR,1,50,9,-61.2222222222222,-58,-63,5
26,LR,1,50,8,-61.125,-58,-63,5
26,LR,1,50,8,-60.875,-58,-63,5
26,LR,1,50,8,-60.875,-58,-63,5
26,LR,1,50,5,-60,-58,-62,4
26,LR,1,50,7,-59,-57,-62,5
26,LR,1,50,8,-59.75,-57,-65,8
26,LR,1,50,5,-61.6,-58,-67,9
26,LR,1,50,7,-61,-57,-64,7
26,LR,1,50,5,-61.2,-57,-64,7
26,LR,0,50,1,-60,-60,-60,0
26,LR,1,50,5,-60,-59,-61,2
26,LR,1,50,5,-59.8,-59,-61,2
26,LR,0,50,2,-59.5,-59,-60,1
26,LR,1,50,5,-57.4,-56,-59,3
26,LR,1,50,3,-57.6666666666667,-56,-59,3
26,LR,1,50,9,-57,-56,-58,2
26,LR,0,50,2,-57.5,-57,-58,1
26,LR,1,50,7,-56.8571428571429,-56,-58,2
26,LR,0,50,1,-56,-56,-56,0
26,LR,1,50,4,-58,-56,-59,3
26,LR,1,50,4,-58,-56,-59,3
26,LR,0,50,1,-58,-58,-58,0
26,LR,1,50,3,-60.6666666666667,-60,-62,2
26,LR,0,50,2,-60,-60,-60,0
26,LR,0,50,2,-62.5,-62,-63,1
26,LR,1,50,8,-60.25,-57,-64,7
26,LR,0,50,1,-59,-59,-59,0
26,LR,1,50,8,-59.625,-57,-62,5
26,LR,1,50,8,-60.625,-58,-62,4
26,LR,1,50,5,-60.2,-58,-61,3
