watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,0,50,2,-67,-67,-67,0
31,RL,1,50,3,-67.6666666666667,-67,-68,1
31,RL,1,50,9,-70.1111111111111,-67,-76,9
31,RL,1,50,3,-68.6666666666667,-68,-69,1
31,RL,0,50,2,-69,-69,-69,0
31,RL,1,50,7,-70.5714285714286,-67,-76,9
31,RL,0,50,1,-73,-73,-73,0
31,RL,1,50,4,-70.75,-67,-76,9
31,RL,1,50,7,-70.2857142857143,-67,-73,6
31,RL,1,50,8,-71.25,-68,-73,5
31,RL,1,50,6,-71.8333333333333,-68,-73,5
31,RL,1,50,7,-71.1428571428571,-68,-73,5
31,RL,1,50,10,-70.4,-68,-73,5
31,RL,0,50,2,-73,-73,-73,0
31,RL,1,50,4,-71.25,-69,-73,4
31,RL,0,50,2,-71,-69,-73,4
31,RL,0,50,1,-69,-69,-69,0
31,RL,1,50,6,-68.6666666666667,-68,-70,2
31,RL,1,50,5,-68.4,-68,-70,2
31,RL,0,50,2,-68,-68,-68,0
31,RL,0,50,1,-68,-68,-68,0
31,RL,1,50,4,-68.5,-68,-69,1
31,RL,1,50,3,-68.6666666666667,-68,-69,1
31,RL,0,50,1,-69,-69,-69,0
31,RL,1,50,10,-66.9,-65,-69,4
31,RL,1,50,4,-66.75,-65,-69,4
31,RL,0,50,1,-65,-65,-65,0
31,RL,1,50,5,-68.2,-68,-69,1
31,RL,1,50,8,-67,-65,-69,4
31,RL,0,50,2,-68,-68,-68,0
31,RL,1,50,6,-66.5,-65,-68,3
31,RL,1,50,9,-66.6666666666667,-64,-70,6
31,RL,1,50,3,-66,-66,-66,0
31,RL,0,50,2,-66,-66,-66,0
31,RL,1,50,4,-65,-64,-66,2
31,RL,0,50,2,-65,-65,-65,0
31,RL,1,50,4,-67.25,-64,-70,6
31,RL,1,50,6,-66.8333333333333,-64,-70,6
31,RL,1,50,7,-66.5714285714286,-63,-70,7
31,RL,1,50,6,-66,-63,-70,7
31,RL,0,50,1,-65,-65,-65,0
31,RL,1,50,7,-67.4285714285714,-63,-71,8
31,RL,1,50,6,-68.1666666666667,-65,-71,6
31,RL,0,50,1,-68,-68,-68,0
31,RL,1,50,4,-67.75,-65,-71,6
31,RL,1,50,5,-65.6,-63,-71,8
31,RL,1,50,9,-66.2222222222222,-63,-71,8
31,RL,1,50,7,-65.7142857142857,-63,-69,6
31,RL,1,50,4,-65.5,-63,-69,6
31,RL,1,50,4,-66.75,-63,-69,6
31,RL,1,50,7,-66.2857142857143,-64,-69,5
31,RL,1,50,7,-67,-64,-70,6
31,RL,1,50,7,-67.5714285714286,-65,-70,5
31,RL,1,50,10,-67.9,-65,-70,5
31,RL,1,50,6,-68.3333333333333,-66,-70,4
31,RL,1,50,4,-69.25,-68,-70,2
31,RL,1,50,8,-67.75,-66,-70,4
31,RL,1,50,4,-68.25,-67,-69,2
31,RL,1,50,10,-66.8,-66,-69,3
31,RL,0,50,1,-69,-69,-69,0
31,RL,1,50,4,-66.25,-66,-67,1
