watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,7,-66,-66,-67,-69,-68,-70,-69,,,,-67.8571428571429,1.57359158493889,-66,-70,4
31,RL,1,50,5,-67,-69,-68,-70,-69,,,,,,-68.6,1.14017542509914,-67,-70,3
31,RL,0,50,2,-69,-68,,,,,,,,,-68.5,0.707106781186548,-68,-69,1
31,RL,1,50,10,-70,-69,-68,-67,-67,-70,-70,-71,-70,-70,-69.2,1.3984117975602,-67,-71,4
31,RL,0,50,1,-69,,,,,,,,,,-69,0,-69,-69,0
31,RL,1,50,10,-68,-67,-67,-70,-70,-71,-70,-70,-70,-67,-69,1.56347191994114,-67,-71,4
31,RL,1,50,4,-67,-67,-70,-70,,,,,,,-68.5,1.73205080756888,-67,-70,3
31,RL,1,50,9,-67,-70,-70,-71,-70,-70,-70,-67,-68,,-69.2222222222222,1.48136573621926,-67,-71,4
31,RL,0,50,1,-70,,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,3,-70,-71,-70,,,,,,,,-70.3333333333333,0.577350269189626,-70,-71,1
31,RL,1,50,5,-70,-70,-70,-67,-68,,,,,,-69,1.4142135623731,-67,-70,3
31,RL,0,50,2,-70,-70,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,6,-70,-67,-68,-68,-70,-70,,,,,-68.8333333333333,1.32916013582513,-67,-70,3
31,RL,1,50,9,-67,-68,-68,-70,-70,-68,-68,-70,-68,,-68.5555555555556,1.13038833052088,-67,-70,3
31,RL,1,50,7,-68,-68,-70,-70,-68,-68,-70,,,,-68.8571428571429,1.0690449676497,-68,-70,2
31,RL,1,50,5,-70,-70,-68,-68,-70,,,,,,-69.2,1.09544511501033,-68,-70,2
31,RL,0,50,2,-70,-68,,,,,,,,,-69,1.4142135623731,-68,-70,2
31,RL,1,50,5,-68,-68,-70,-68,-67,,,,,,-68.2,1.09544511501033,-67,-70,3
31,RL,0,50,2,-68,-70,,,,,,,,,-69,1.4142135623731,-68,-70,2
31,RL,0,50,2,-68,-67,,,,,,,,,-67.5,0.707106781186548,-67,-68,1
31,RL,1,50,8,-67,-66,-67,-67,-66,-67,-67,-66,,,-66.625,0.517549169506766,-66,-67,1
31,RL,1,50,10,-66,-67,-67,-66,-67,-67,-66,-68,-68,-70,-67.2,1.22927259430572,-66,-70,4
31,RL,1,50,5,-67,-67,-66,-67,-67,,,,,,-66.8,0.447213595499958,-66,-67,1
31,RL,1,50,8,-66,-67,-67,-66,-68,-68,-70,-71,,,-67.875,1.80772153354911,-66,-71,5
31,RL,1,50,5,-67,-67,-66,-68,-68,,,,,,-67.2,0.836660026534076,-66,-68,2
31,RL,1,50,6,-67,-66,-68,-68,-70,-71,,,,,-68.3333333333333,1.86189867250253,-66,-71,5
31,RL,0,50,2,-66,-68,,,,,,,,,-67,1.4142135623731,-66,-68,2
31,RL,1,50,4,-68,-70,-71,-67,,,,,,,-69,1.82574185835055,-67,-71,4
31,RL,0,50,1,-70,,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,10,-71,-67,-67,-68,-72,-68,-68,-70,-70,-70,-69.1,1.72884033065199,-67,-72,5
31,RL,1,50,8,-67,-67,-68,-72,-68,-68,-70,-70,,,-68.75,1.75254916376933,-67,-72,5
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,4,-68,-72,-68,-68,,,,,,,-69,2,-68,-72,4
31,RL,1,50,3,-72,-68,-68,,,,,,,,-69.3333333333333,2.3094010767585,-68,-72,4
31,RL,1,50,5,-68,-68,-70,-70,-70,,,,,,-69.2,1.09544511501033,-68,-70,2
31,RL,1,50,10,-70,-70,-70,-70,-70,-70,-68,-70,-70,-70,-69.8,0.632455532033676,-68,-70,2
31,RL,0,50,2,-70,-70,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,8,-70,-70,-70,-68,-70,-70,-70,-67,,,-69.375,1.18773493916542,-67,-70,3
31,RL,1,50,6,-70,-70,-68,-70,-70,-70,,,,,-69.6666666666667,0.816496580927726,-68,-70,2
31,RL,0,50,2,-70,-68,,,,,,,,,-69,1.4142135623731,-68,-70,2
31,RL,1,50,7,-68,-70,-70,-70,-67,-68,-68,,,,-68.7142857142857,1.25356634105602,-67,-70,3
31,RL,1,50,10,-70,-70,-70,-67,-68,-68,-69,-69,-68,-68,-68.7,1.05934990547138,-67,-70,3
31,RL,1,50,3,-70,-70,-67,,,,,,,,-69,1.73205080756888,-67,-70,3
31,RL,1,50,7,-70,-67,-68,-68,-69,-69,-68,,,,-68.4285714285714,0.975900072948533,-67,-70,3
31,RL,1,50,7,-67,-68,-68,-69,-69,-68,-68,,,,-68.1428571428571,0.690065559342354,-67,-69,2
31,RL,0,50,1,-68,,,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,6,-69,-69,-68,-68,-68,-68,,,,,-68.3333333333333,0.516397779494322,-68,-69,1
31,RL,1,50,6,-69,-68,-68,-68,-68,-71,,,,,-68.6666666666667,1.211060141639,-68,-71,3
31,RL,1,50,3,-68,-68,-68,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,4,-68,-68,-71,-71,,,,,,,-69.5,1.73205080756888,-68,-71,3
31,RL,0,50,1,-71,,,,,,,,,,-71,0,-71,-71,0
