watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,9,-70,-72,-70,-70,-74,-72,-72,-74,-72,,-71.7777777777778,1.56347191994114,-70,-74,4
31,RL,1,50,7,-70,-70,-74,-72,-72,-74,-72,,,,-72,1.63299316185545,-70,-74,4
31,RL,1,50,3,-72,-72,-74,,,,,,,,-72.6666666666667,1.15470053837925,-72,-74,2
31,RL,1,50,10,-74,-74,-73,-70,-69,-76,-72,-71,-72,-72,-72.3,2.05750658160146,-69,-76,7
31,RL,1,50,7,-69,-76,-72,-71,-72,-72,-75,,,,-72.4285714285714,2.37045304088641,-69,-76,7
31,RL,0,50,1,-76,,,,,,,,,,-76,0,-76,-76,0
31,RL,0,50,1,-72,,,,,,,,,,-72,0,-72,-72,0
31,RL,1,50,4,-74,-74,-72,-72,,,,,,,-73,1.15470053837925,-72,-74,2
31,RL,1,50,8,-73,-73,-77,-74,-74,-71,-74,-74,,,-73.75,1.66904592079256,-71,-77,6
31,RL,1,50,3,-77,-74,-74,,,,,,,,-75,1.73205080756888,-74,-77,3
31,RL,1,50,7,-74,-74,-71,-74,-74,-74,-67,,,,-72.5714285714286,2.69920623252731,-67,-74,7
31,RL,1,50,7,-74,-74,-67,-82,-82,-75,-75,,,,-75.5714285714286,5.19156825558337,-67,-82,15
31,RL,1,50,3,-82,-75,-75,,,,,,,,-77.3333333333333,4.04145188432738,-75,-82,7
31,RL,1,50,8,-72,-76,-73,-73,-70,-72,-71,-73,,,-72.5,1.77281052085584,-70,-76,6
31,RL,1,50,7,-72,-71,-73,-73,-75,-72,-75,,,,-73,1.52752523165195,-71,-75,4
31,RL,1,50,7,-73,-75,-72,-75,-72,-76,-74,,,,-73.8571428571429,1.57359158493889,-72,-76,4
31,RL,0,50,2,-76,-70,,,,,,,,,-73,4.24264068711928,-70,-76,6
31,RL,1,50,3,-72,-73,-72,,,,,,,,-72.3333333333333,0.577350269189626,-72,-73,1
31,RL,1,50,3,-73,-72,-72,,,,,,,,-72.3333333333333,0.577350269189626,-72,-73,1
31,RL,1,50,8,-72,-74,-71,-75,-71,-70,-75,-74,,,-72.75,1.98206241793023,-70,-75,5
31,RL,1,50,5,-71,-73,-72,-74,-76,,,,,,-73.2,1.92353840616713,-71,-76,5
31,RL,1,50,7,-72,-74,-76,-75,-72,-76,-71,,,,-73.7142857142857,2.05866345916355,-71,-76,5
31,RL,1,50,5,-72,-76,-71,-71,-71,,,,,,-72.2,2.16794833886788,-71,-76,5
31,RL,1,50,7,-74,-71,-74,-70,-74,-73,-70,,,,-72.2857142857143,1.88982236504614,-70,-74,4
31,RL,1,50,8,-70,-74,-74,-73,-74,-70,-72,-73,,,-72.5,1.69030850945703,-70,-74,4
31,RL,1,50,9,-75,-76,-70,-70,-77,-71,-71,-71,-70,,-72.3333333333333,2.82842712474619,-70,-77,7
31,RL,0,50,2,-71,-70,,,,,,,,,-70.5,0.707106781186548,-70,-71,1
31,RL,1,50,5,-70,-73,-72,-73,-74,,,,,,-72.4,1.51657508881031,-70,-74,4
31,RL,1,50,9,-73,-72,-73,-74,-73,-70,-72,-72,-74,,-72.5555555555556,1.23603308118261,-70,-74,4
31,RL,1,50,10,-74,-73,-70,-72,-72,-74,-74,-71,-73,-75,-72.8,1.54919333848297,-70,-75,5
31,RL,1,50,8,-74,-71,-73,-75,-75,-73,-74,-73,,,-73.5,1.30930734141595,-71,-75,4
31,RL,1,50,5,-73,-74,-73,-76,-71,,,,,,-73.4,1.81659021245849,-71,-76,5
31,RL,1,50,6,-78,-73,-73,-77,-69,-73,,,,,-73.8333333333333,3.25064096243597,-69,-78,9
31,RL,1,50,7,-73,-73,-77,-69,-73,-72,-71,,,,-72.5714285714286,2.43975018237133,-69,-77,8
31,RL,1,50,6,-73,-72,-71,-71,-72,-72,,,,,-71.8333333333333,0.752772652709081,-71,-73,2
31,RL,1,50,6,-79,-75,-74,-76,-76,-78,,,,,-76.3333333333333,1.86189867250253,-74,-79,5
31,RL,0,50,1,-76,,,,,,,,,,-76,0,-76,-76,0
31,RL,1,50,4,-73,-72,-72,-74,,,,,,,-72.75,0.957427107756338,-72,-74,2
31,RL,0,50,1,-76,,,,,,,,,,-76,0,-76,-76,0
31,RL,1,50,6,-75,-72,-80,-71,-74,-74,,,,,-74.3333333333333,3.14112506383727,-71,-80,9
31,RL,1,50,8,-67,-82,-70,-68,-74,-76,-78,-77,,,-74,5.26443593505379,-67,-82,15
31,RL,1,50,8,-76,-78,-77,-76,-72,-81,-73,-61,,,-74.25,6.04152298679729,-61,-81,20
31,LR,1,50,5,-61,-62,-62,-61,-61,,,,,,-61.4,0.547722557505166,-61,-62,1
31,LR,1,50,9,-62,-61,-61,-61,-59,-62,-60,-60,-61,,-60.7777777777778,0.97182531580755,-59,-62,3
31,LR,1,50,10,-60,-60,-61,-59,-61,-60,-60,-62,-61,-60,-60.4,0.843274042711568,-59,-62,3
31,LR,1,50,8,-60,-61,-59,-61,-60,-60,-62,-61,,,-60.5,0.925820099772551,-59,-62,3
31,LR,1,50,7,-61,-60,-61,-60,-61,-60,-60,,,,-60.4285714285714,0.534522483824849,-60,-61,1
31,LR,1,50,7,-61,-60,-61,-60,-60,-63,-63,,,,-61.1428571428571,1.3451854182691,-60,-63,3
31,LR,1,50,6,-60,-61,-63,-61,-63,-63,,,,,-61.8333333333333,1.32916013582513,-60,-63,3
31,LR,1,50,10,-61,-63,-61,-63,-63,-59,-63,-63,-63,-62,-62.1,1.3703203194063,-59,-63,4
31,LR,0,50,1,-63,,,,,,,,,,-63,0,-63,-63,0
31,LR,1,50,9,-63,-62,-60,-63,-62,-63,-60,-62,-62,,-61.8888888888889,1.16666666666667,-60,-63,3
31,LR,1,50,6,-60,-62,-60,-62,-60,-62,,,,,-61,1.09544511501033,-60,-62,2
31,LR,1,50,8,-62,-62,-61,-62,-63,-60,-63,-62,,,-61.875,0.991031208965115,-60,-63,3
